"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,114,"JPN","Japan",1,"Aichi","Ken","Prefecture","<U+611B><U+77E5><U+770C>","Aiti"
2,114,"JPN","Japan",2,"Akita","Ken","Prefecture","<U+79CB><U+7530><U+770C>",NA
3,114,"JPN","Japan",3,"Aomori","Ken","Prefecture","<U+9752><U+68EE><U+770C>",NA
4,114,"JPN","Japan",4,"Chiba","Ken","Prefecture","<U+5343><U+8449><U+770C>","Tiba|Tsiba"
5,114,"JPN","Japan",5,"Ehime","Ken","Prefecture","<U+611B><U+5A9B><U+770C>",NA
6,114,"JPN","Japan",6,"Fukui","Ken","Prefecture","<U+798F><U+4E95><U+770C>","Hukui"
7,114,"JPN","Japan",7,"Fukuoka","Ken","Prefecture","<U+798F><U+5CA1><U+770C>","Hukuoka"
8,114,"JPN","Japan",8,"Fukushima","Ken","Prefecture","<U+798F><U+5CF6><U+770C>","Hukusima"
9,114,"JPN","Japan",9,"Gifu","Ken","Prefecture","<U+5C90><U+961C><U+770C>","Gihu"
10,114,"JPN","Japan",10,"Gunma","Ken","Prefecture","<U+7FA4><U+99AC><U+770C>","GunmaGumma"
11,114,"JPN","Japan",11,"Hiroshima","Ken","Prefecture","<U+5E83><U+5CF6><U+770C>","Hirosima"
12,114,"JPN","Japan",12,"Hokkaido","Do","Circuit","<U+5317><U+6D77><U+9053>","Ezo|Yeso|Yezo"
13,114,"JPN","Japan",13,"Hyogo","Ken","Prefecture","<U+5175><U+5EAB><U+770C>","Hiogo"
14,114,"JPN","Japan",14,"Ibaraki","Ken","Prefecture","<U+8328><U+57CE><U+770C>",NA
15,114,"JPN","Japan",15,"Ishikawa","Ken","Prefecture","<U+77F3><U+5DDD><U+770C>","Isikawa"
16,114,"JPN","Japan",16,"Iwate","Ken","Prefecture","<U+5CA9><U+624B><U+770C>",NA
17,114,"JPN","Japan",17,"Kagawa","Ken","Prefecture","<U+9999><U+5DDD><U+770C>",NA
18,114,"JPN","Japan",18,"Kagoshima","Ken","Prefecture","<U+9E7F><U+5150><U+5CF6><U+770C>",NA
19,114,"JPN","Japan",19,"Kanagawa","Ken","Prefecture","<U+795E><U+5948><U+5DDD><U+770C>",NA
20,114,"JPN","Japan",20,"Kochi","Ken","Prefecture","<U+9AD8><U+77E5><U+770C>","Koti"
21,114,"JPN","Japan",21,"Kumamoto","Ken","Prefecture","<U+718A><U+672C><U+770C>",NA
22,114,"JPN","Japan",22,"Kyoto","Fu","Urban Prefecture","<U+4EAC><U+90FD><U+5E9C>","Kioto"
23,114,"JPN","Japan",23,"Mie","Ken","Prefecture","<U+4E09><U+91CD><U+770C>","Miye"
24,114,"JPN","Japan",24,"Miyagi","Ken","Prefecture","<U+5BAE><U+57CE><U+770C>",NA
25,114,"JPN","Japan",25,"Miyazaki","Ken","Prefecture","<U+5BAE><U+5D0E><U+770C>",NA
26,114,"JPN","Japan",26,"Nagano","Ken","Prefecture","<U+9577><U+91CE><U+770C>",NA
27,114,"JPN","Japan",27,"Naoasaki","Ken","Prefecture","<U+9577><U+5D0E><U+770C>","Nagasaki"
28,114,"JPN","Japan",28,"Nara","Ken","Prefecture","<U+5948><U+826F><U+770C>",NA
29,114,"JPN","Japan",29,"Niigata","Ken","Prefecture","<U+65B0><U+6F5F><U+770C>",NA
30,114,"JPN","Japan",30,"Oita","Ken","Prefecture","<U+5927><U+5206><U+770C>",NA
31,114,"JPN","Japan",31,"Okayama","Ken","Prefecture","<U+5CA1><U+5C71><U+770C>",NA
32,114,"JPN","Japan",32,"Okinawa","Ken","Prefecture","<U+6C96><U+7E04><U+770C>",NA
33,114,"JPN","Japan",33,"Osaka","Fu","Urban Prefecture","<U+5927><U+962A><U+5E9C>",NA
34,114,"JPN","Japan",34,"Saga","Ken","Prefecture","<U+4F50><U+8CC0><U+770C>",NA
35,114,"JPN","Japan",35,"Saitama","Ken","Prefecture","<U+57FC><U+7389><U+770C>",NA
36,114,"JPN","Japan",36,"Shiga","Ken","Prefecture","<U+6ECB><U+8CC0><U+770C>","Siga"
37,114,"JPN","Japan",37,"Shimane","Ken","Prefecture","<U+5CF6><U+6839><U+770C>","Simane"
38,114,"JPN","Japan",38,"Shizuoka","Ken","Prefecture","<U+9759><U+5CA1><U+770C>","Sizuoka"
39,114,"JPN","Japan",39,"Tochigi","Ken","Prefecture","<U+6803><U+6728><U+770C>","Totigi"
40,114,"JPN","Japan",40,"Tokushima","Ken","Prefecture","<U+5FB3><U+5CF6><U+770C>","Tokusima"
41,114,"JPN","Japan",41,"Tokyo","To","Metropolis","<U+6771><U+4EAC><U+90FD>","Edo|Yedo|Tokio|TÂ¢quio"
42,114,"JPN","Japan",42,"Tottori","Ken","Prefecture","<U+9CE5><U+53D6><U+770C>",NA
43,114,"JPN","Japan",43,"Toyama","Ken","Prefecture","<U+5BCC><U+5C71><U+770C>",NA
44,114,"JPN","Japan",44,"Wakayama","Ken","Prefecture","<U+548C><U+6B4C><U+5C71><U+770C>",NA
45,114,"JPN","Japan",45,"Yamagata","Ken","Prefecture","<U+5C71><U+5F62><U+770C>",NA
46,114,"JPN","Japan",46,"Yamaguchi","Ken","Prefecture","<U+5C71><U+53E3><U+770C>","Yamaguti"
47,114,"JPN","Japan",47,"Yamanashi","Ken","Prefecture","<U+5C71><U+68A8><U+770C>","Yamanasi"
